31Al	30	983949.756	2.4
31Si	30	975363.194	0.04
31P	30	973761.9986	0
31S	30	979557.007	0.24
31Cl	30	992448.098	3.7
31Ar	31	012158	215
32Ne	32	039720	540
32Na	32	20011.026	40
32Mg	31	999110.139	3.5
32Al	31	988084.339	7.7
32Si	31	974151.539	0.32
32P	31	973907.643	0.04
32S	31	972071.1744	0
32Cl	31	985684.637	0.6
32Ar	31	997637.826	1.9
32K	32	022650	430
33Ne	33	049380	640
33Na	33	25529	483
33Mg	33	5327.245	3.1
33Al	32	990877.687	7.5
33Si	32	977976.964	0.75
33P	32	971725.694	1.17
33S	32	971458.9099	0
33Cl	32	977451.989	0.41
33Ar	32	989925.547	0.43
33K	33	007560	210
34Ne	34	056728	551
34Na	34	34010	643.5
34Mg	34	8935.481	31
34Al	33	996779.057	3.3
34Si	33	978575.437	15.15
34P	33	973645.887	0.87
34S	33	967867.012	0.04
34Cl	33	973762.491	0.05
34Ar	33	980270.093	0.08
34K	33	998690	210
34Ca	34	014870	320
35Na	35	041043	720
35Mg	35	16790	289.5
35Al	34	999759.817	7.9
35Si	34	984550.134	38.49
35P	34	973314.053	2
35S	34	969032.322	0.04
35Cl	34	968852.694	0.03
35Ar	34	975257.721	0.73
35K	34	988005.407	0.55
35Ca	35	005140	210
36Na	36	049708	728
36Mg	36	21879	741
36Al	36	6388	160.5
36Si	35	986649.271	77.07
36P	35	978259.619	14.07
36S	35	967080.699	0.2
36Cl	35	968306.822	0.03
36Ar	35	967545.105	0.02
36K	35	981302.01	0.36
36Ca	35	993074.406	42.94
36Sc	36	016480	320
37Na	37	057471	737
37Mg	37	30286.265	750.35
37Al	37	10531	193.5
37Si	36	992945.191	122.17
37P	36	979606.956	40.73
37S	36	971125.507	0.21
37Cl	36	965902.584	0.05
37Ar	36	966776.314	0.22
37K	36	973375.889	0.1
37Ca	36	985897.852	0.68
37Sc	37	003779	322
38Mg	38	036580	540
38Al	38	17402	402
38Si	37	995523	112.5
38P	37	984303.105	77.91
38S	37	971163.31	7.69
38Cl	37	968010.418	0.1
38Ar	37	962732.104	0.2
38K	37	969081.116	0.2
38Ca	37	976319.226	0.2
38Sc	37	995438	215
38Ti	38	011669	322
39Mg	39	045384	551
39Al	39	022169	429
39Si	39	2491	145.5
39P	38	986285.865	120.92
39S	38	975133.852	53.67
39Cl	38	968008.162	1.85
39Ar	38	964313.039	5.36
39K	38	963706.4866	0
39Ca	38	970710.813	0.64
39Sc	38	984784.97	25.76
39Ti	39	002362	215
40Mg	40	051906	537
40Al	40	029619	429
40Si	40	5829	370.5
40P	39	991288.865	164.87
40S	39	975482.562	4.27
40Cl	39	970415.469	34.42
40Ar	39	962383.1238	0
40K	39	963998.166	0.06
40Ca	39	962590.865	0.02
40Sc	39	977967.292	3.03
40Ti	39	990498.721	171.76
40V	40	013065	322
41Al	41	035878	537
41Si	41	13011	595.5
41P	40	994654	129
41S	40	979593.451	4.4
41Cl	40	970684.525	73.77
